label,model_name,ablation,use_niche_tokens,best_val_loss_mean,best_val_loss_std,classifier_auc_mean_mean,classifier_auc_mean_std,classifier_auc_std_mean,classifier_auc_std_std,jsd_composition_mean_mean,jsd_composition_mean_std,jsd_composition_std_mean,jsd_composition_std_std,mmd_rbf_mean_mean,mmd_rbf_mean_std,mmd_rbf_std_mean,mmd_rbf_std_std,rank_consistency_mean_mean,rank_consistency_mean_std,rank_consistency_std_mean,rank_consistency_std_std,sinkhorn_mean_mean,sinkhorn_mean_std,sinkhorn_std_mean,sinkhorn_std_std,sinkhorn_mean,sinkhorn_std,mmd_rbf_mean,mmd_rbf_std,classifier_auc_mean,classifier_auc_std,jsd_composition_mean,jsd_composition_std,rank_consistency_mean,rank_consistency_std
deepsets,deepsets,,True,0.3116612434387207,0.03217810392379761,0.8698768763703828,0.008180131556754955,0.0,0.0,0.0290871371411435,0.014666151713921475,0.0,0.0,0.02854698896408081,0.0013042092323303223,0.0,0.0,,,,,8.605696678161621,0.2991666793823242,0.0,0.0,8.605696678161621,0.2991666793823242,0.02854698896408081,0.0013042092323303223,0.8698768763703828,0.008180131556754955,0.0290871371411435,0.014666151713921475,,
stagebridge,stagebridge,,True,0.3185596317052841,0.029643163084983826,0.8958509023444089,0.03685275763197848,0.0,0.0,0.030770003022707968,0.011847063972911315,0.0,0.0,0.02834087610244751,0.0061838626861572266,0.0,0.0,,,,,8.553512573242188,0.3412141799926758,0.0,0.0,8.553512573242188,0.3412141799926758,0.02834087610244751,0.0061838626861572266,0.8958509023444089,0.03685275763197848,0.030770003022707968,0.011847063972911315,,
stagebridge__ablation_no_context,no_context,no_context,False,0.32147765159606934,0.030455023050308228,0.8965255523697082,0.03988868274582563,0.0,0.0,0.021096162314647563,0.008608749462911323,0.0,0.0,0.03424394130706787,0.005729377269744873,0.0,0.0,,,,,8.98607063293457,0.21369361877441406,0.0,0.0,8.98607063293457,0.21369361877441406,0.03424394130706787,0.005729377269744873,0.8965255523697082,0.03988868274582563,0.021096162314647563,0.008608749462911323,,
