donor_id,auroc,auprc,balanced_accuracy,precision,recall,f1,brier,ece,n_lesions,artifact_dir
P9,,,1.0,1.0,1.0,1.0,0.0611245259642601,0.2472337484359741,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/deep_sets/fold_00/seed_042
P20,,,1.0,1.0,1.0,1.0,0.0614110380411148,0.2478125095367431,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/deep_sets/fold_00/seed_042
P25,,,1.0,1.0,1.0,1.0,0.0610479526221752,0.2470788359642028,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/deep_sets/fold_00/seed_042
P2,,,1.0,1.0,1.0,1.0,0.0145463403314352,0.1206082105636596,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/deep_sets/fold_02/seed_042
P6,,,1.0,1.0,1.0,1.0,0.0791391506791114,0.2813168168067932,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/deep_sets/fold_02/seed_042
P24,,,1.0,1.0,1.0,1.0,0.0078217182308435,0.0884404778480529,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/deep_sets/fold_02/seed_042
P3,,,1.0,1.0,1.0,1.0,0.289881944656372,0.5384068489074707,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_01/seed_042
P9,,,1.0,1.0,1.0,1.0,0.2898996472358703,0.5384232699871063,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_01/seed_042
P14,,,1.0,1.0,1.0,1.0,0.2899083793163299,0.5384314358234406,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_01/seed_042
P19,,,1.0,1.0,1.0,1.0,0.2898159623146057,0.5383455753326416,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_01/seed_042
P8,,,1.0,1.0,1.0,1.0,0.0064667463302612,0.0804160833358764,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_00/seed_042
P12,,,1.0,1.0,1.0,1.0,0.0064209955744445,0.0801311135292053,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_00/seed_042
P17,,,0.0,0.0,0.0,0.0,0.846451997756958,0.920028269290924,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_00/seed_042
P23,,,0.0,0.0,0.0,0.0,0.8468963503837585,0.9202697277069092,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_00/seed_042
P5,,,0.0,0.0,0.0,0.0,0.2967362403869629,0.5447350144386292,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_02/seed_042
P16,,,1.0,1.0,1.0,1.0,0.2071343511343002,0.4551201462745666,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_02/seed_042
P21,,,1.0,1.0,1.0,1.0,0.2069817781448364,0.4549524784088135,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/eamist/fold_02/seed_042
P3,,,1.0,1.0,1.0,1.0,0.2880659699440002,0.5367178022861481,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_01/seed_042
