fold,seed,epoch,train_loss,val_loss,il1b_corr,kac_corr,prolif_corr,kac_monotonicity,drift_alignment,drift_align_Normal,drift_align_AIS,drift_align_MIA
0,42,109,0.04500276923636367,0.07526804295981802,0.21405601501464844,0.21818415820598602,0.2083829939365387,1.0,0.4629487991333008,0.9614711403846741,0.37616023421287537,0.25602003931999207
0,123,124,0.04294674972008015,0.04228375132490949,0.2663559317588806,0.3627548813819885,0.20589810609817505,1.0,0.4674042761325836,0.9705532193183899,0.3795555531978607,0.25874289870262146
0,456,120,0.043098550214025075,0.07876464099418826,0.1937258243560791,0.1747964322566986,0.24310804903507233,0.5,0.46618884801864624,0.9678733348846436,0.3785839378833771,0.2580472230911255
1,42,127,0.04510827874103052,0.21821577847003937,0.09897459298372269,0.41140061616897583,0.04748626425862312,0.6666666666666666,0.27112388610839844,0.9652277231216431,0.20554831624031067,0.2640613317489624
1,123,107,0.048326381007929395,0.21784822642803192,0.11330029368400574,0.3958684802055359,0.09651637822389603,0.6666666666666666,0.26464393734931946,0.9438078999519348,0.20042771100997925,0.2573392391204834
1,456,138,0.04587141308106686,0.21372215449810028,0.07555969059467316,0.15910468995571136,0.08486396074295044,0.6666666666666666,0.2710995674133301,0.9659007787704468,0.2055964320898056,0.26401078701019287
2,42,127,0.040583198500936946,0.19259361922740936,0.15761364996433258,0.4780925512313843,0.17583835124969482,0.6666666666666666,0.2705375850200653,0.9650129079818726,0.2049867957830429,0.26336929202079773
2,123,115,0.041080951811606405,0.20246060192584991,0.15580005943775177,0.3379402458667755,0.1649886965751648,0.6666666666666666,0.27000465989112854,0.9622769355773926,0.2047942727804184,0.2632601857185364
2,456,142,0.03865911535523792,0.17575982213020325,0.17312222719192505,0.5573546290397644,0.15369831025600433,0.6666666666666666,0.2721981406211853,0.9720747470855713,0.20600596070289612,0.2647934854030609
3,42,118,0.04079597175448066,0.23629046976566315,0.1331171691417694,0.11275182664394379,0.1371498554944992,0.3333333333333333,0.26808324456214905,0.9541721940040588,0.20317843556404114,0.2613624632358551
3,123,127,0.04013814132956057,0.1504240781068802,0.07397991418838501,0.2216174453496933,0.10213576257228851,0.6666666666666666,0.2698213458061218,0.9606051445007324,0.20463965833187103,0.2626017928123474
3,456,115,0.04111831305835063,0.18146684765815735,0.11791157722473145,0.25053563714027405,0.12423358857631683,0.3333333333333333,0.26774537563323975,0.95208740234375,0.2031160444021225,0.260997474193573
4,42,114,0.04823707353950727,0.3087320029735565,0.11349132657051086,0.10784046351909637,0.07528360188007355,0.3333333333333333,0.2705041468143463,0.9644051790237427,0.20504926145076752,0.2632642686367035
4,123,129,0.04681450467720768,0.21355047821998596,0.0963071808218956,0.048993661999702454,0.11233534663915634,0.3333333333333333,0.27239111065864563,0.9732374548912048,0.20579089224338531,0.26511675119400024
4,456,137,0.04716262553128672,0.29306116700172424,0.1480969935655594,0.014671359211206436,0.1338171809911728,0.6666666666666666,0.27247682213783264,0.9739338159561157,0.20647020637989044,0.26475784182548523
