timestamp,git_commit,git_short_hash,git_branch,experiment_name,mode,stage_edges,split_name,wes_regularizer_enabled,spatial_mapping_method,context_model_mode,status,primary_metric,promoted,scratch_path,milestone_id
2026-03-08T02:35:34.572843+00:00,20e0d11e1a1858e58a27e1f0491c9af3fa3573d7,20e0d11,main,mission3_wes_gate_ais_to_mia,scientific_gates,AIS->MIA,donor_holdout,yes,tangram,set_only,complete,15.704164505004883,no,outputs/scratch/current,
2026-03-08T02:36:10.764280+00:00,20e0d11e1a1858e58a27e1f0491c9af3fa3573d7,20e0d11,main,mission3_diffusion_gate_aah_to_ais,scientific_gates,AAH->AIS,donor_holdout,no,tangram,set_only,complete,26.03833770751953,no,outputs/scratch/current,
2026-03-08T02:36:26.123203+00:00,20e0d11e1a1858e58a27e1f0491c9af3fa3573d7,20e0d11,main,mission3_diffusion_gate_ais_to_mia,scientific_gates,AIS->MIA,donor_holdout,no,tangram,set_only,complete,16.212661743164062,no,outputs/scratch/current,
2026-03-08T02:37:44.837535+00:00,20e0d11e1a1858e58a27e1f0491c9af3fa3573d7,20e0d11,main,mission3_final_gate_summary,scientific_gates,AAH->AIS|AIS->MIA,donor_holdout,no,tangram,set_only,complete,,no,outputs/scratch/current,
2026-03-08T04:00:46.350351+00:00,20e0d11e1a1858e58a27e1f0491c9af3fa3573d7,20e0d11,main,AAH_to_AIS,set_only,AAH->AIS,donor_holdout,no,tangram,set_only,complete,26.88287353515625,no,outputs/scratch/current,
2026-03-08T04:02:18.139495+00:00,20e0d11e1a1858e58a27e1f0491c9af3fa3573d7,20e0d11,main,AAH_to_AIS,set_only,AAH->AIS,donor_holdout,no,tangram,set_only,complete,28.174846649169922,no,outputs/scratch/current,
2026-03-08T04:17:35.991371+00:00,20e0d11e1a1858e58a27e1f0491c9af3fa3573d7,20e0d11,main,AAH_to_AIS,set_only,AAH->AIS,donor_holdout,yes,tangram,set_only,complete,14.287663459777832,no,outputs/scratch/current,
2026-03-08T05:04:54.092269+00:00,20e0d11e1a1858e58a27e1f0491c9af3fa3573d7,20e0d11,main,set_only_ais_to_mia_baseline,set_only,AIS->MIA,donor_holdout,no,tangram,set_only,complete,26.628677368164062,no,outputs/scratch/current,
2026-03-08T06:11:13.190281+00:00,c28354a529ecd3b014627e455635385f36974ead,c28354a,main,AAH_to_AIS,set_only,AAH->AIS,donor_holdout,no,tangram,set_only,complete,28.19644546508789,no,outputs/scratch/current,
2026-03-08T06:12:48.162679+00:00,c28354a529ecd3b014627e455635385f36974ead,c28354a,main,AAH_to_AIS,set_only,AAH->AIS,donor_holdout,no,tangram,set_only,complete,26.964866638183594,no,outputs/scratch/current,
2026-03-08T06:58:09.062491+00:00,c28354a529ecd3b014627e455635385f36974ead,c28354a,main,AAH_to_AIS,set_only,AAH->AIS,donor_holdout,no,tangram,set_only,complete,27.445865631103516,no,outputs/scratch/current,
2026-03-08T07:04:35.310755+00:00,c28354a529ecd3b014627e455635385f36974ead,c28354a,main,AAH_to_AIS,set_only,AAH->AIS,donor_holdout,no,tangram,set_only,complete,27.001239776611328,no,outputs/scratch/current,
2026-03-08T19:40:05.660545+00:00,b9b0d61ed22cb065dd9940e58832f9f8396c3f71,b9b0d61,main,AAH_to_AIS,typed_hierarchical_transformer,AAH->AIS,donor_holdout,yes,tangram,set_only,complete,1.23,no,outputs/scratch/current,
2026-03-09T05:52:15.305854+00:00,70f7a6ca4e42ad17f6c053b19a20bd4761b35189,70f7a6c,main,stagebridge_tangram_AAH->AIS,typed_hierarchical_transformer,AAH->AIS,donor_holdout,yes,tangram,typed_hierarchical_transformer,complete,14.842181205749512,no,outputs/scratch/current,
